"method_1","analysis_type","cluster_id_1","candidate_key_1","n_exons_1","n_subjects_1","n_events_1","diameter_1d_1","diameter_3d_1","p_1d_joint_1","p_3d_joint_1","p_any_joint_1","hotspot_class_1","significant_1d_1","significant_3d_1","significant_any_1","compactness_testable_1","method_2","matched_cluster_id_2","matched_candidate_key_2","matched_n_exons_2","matched_n_subjects_2","matched_n_events_2","matched_diameter_1d_2","matched_diameter_3d_2","matched_p_1d_joint_2","matched_p_3d_joint_2","matched_p_any_joint_2","matched_hotspot_class_2","matched_significant_1d_2","matched_significant_3d_2","matched_significant_any_2","matched_compactness_testable_2","jaccard_similarity","exact_match","significance_agrees","hotspot_class_agrees"
"complete","HETDEL","HETDEL_cluster_0003","1;2;3;4",4,77,83,3,15.9159444173143,0.115384615384615,0.307692307692308,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0003","1;2;3;4",4,77,83,3,15.9159444173143,0.115384615384615,0.307692307692308,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0004","3;4",2,71,73,1,5.5594506259578,0.115384615384615,0.653846153846154,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0004","3;4",2,71,73,1,5.5594506259578,0.115384615384615,0.653846153846154,0.115384615384615,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0005","1;2;3;4;5",5,77,83,4,15.9159444173143,0.307692307692308,0.307692307692308,0.307692307692308,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0005","1;2;3;4;5",5,77,83,4,15.9159444173143,0.307692307692308,0.307692307692308,0.307692307692308,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0006","1;2",2,61,62,1,5.09284759901451,0.923076923076923,0.576923076923077,0.576923076923077,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0006","1;2",2,61,62,1,5.09284759901451,0.923076923076923,0.576923076923077,0.576923076923077,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0007","5;6",2,60,61,1,5.15928912557371,0.807692307692308,0.807692307692308,0.807692307692308,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0007","5;6",2,60,61,1,5.15928912557371,0.807692307692308,0.807692307692308,0.807692307692308,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0008","5;6;7;8;9",5,60,61,4,10.1592312730255,0.846153846153846,0.846153846153846,0.846153846153846,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0008","5;6;7;8;9",5,60,61,4,10.1592312730255,0.846153846153846,0.846153846153846,0.846153846153846,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0009","7;8",2,41,41,1,4.50447228016122,0.923076923076923,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0009","7;8",2,41,41,1,4.50447228016122,0.923076923076923,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0010","7;8;9",3,41,41,2,8.87616612257633,0.923076923076923,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0010","7;8;9",3,41,41,2,8.87616612257633,0.923076923076923,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0011","6;9",2,43,43,3,4.77930080439185,0.961538461538462,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0011","6;9",2,43,43,3,4.77930080439185,0.961538461538462,0.923076923076923,0.923076923076923,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0012","6;7;8;9",4,43,43,3,8.87616612257633,0.961538461538462,0.961538461538462,0.961538461538462,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HETDEL_cluster_0012","6;7;8;9",4,43,43,3,8.87616612257633,0.961538461538462,0.961538461538462,0.961538461538462,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
