"protein","plddt_threshold","n_sim","reference_n_sim","n_clusters","n_significant","reference_n_significant","mean_absolute_p_difference","median_absolute_p_difference","root_mean_square_p_difference","maximum_absolute_p_difference","pvalue_spearman","significance_agreement","significance_flips","exact_significance_set_match"
"LEF1",70,100,1000,24,0,6,0.053823725098822,0,0.0872286444379212,0.197369965950452,0.955710072531722,0.75,6,FALSE
"LEF1",70,200,1000,24,0,6,0.0573267656106928,0,0.0926893614614281,0.223414557024565,0.974867365959611,0.75,6,FALSE
"LEF1",70,300,1000,24,0,6,0.0212119910289796,0,0.0392394130303358,0.121650738258582,0.985660441547689,0.75,6,FALSE
"LEF1",70,400,1000,24,4,6,0.00930601483599964,0,0.0159210952495157,0.0529388983227574,0.9875336667645,0.833333333333333,4,FALSE
"LEF1",70,500,1000,24,4,6,0.00785812173793184,0,0.0151047428435656,0.0413038464902863,0.9875336667645,0.833333333333333,4,FALSE
"LEF1",70,600,1000,24,4,6,0.00668513471396079,0,0.0118237618540819,0.0362331814775764,0.9875336667645,0.833333333333333,4,FALSE
"LEF1",70,700,1000,24,4,6,0.00682466974882145,0,0.0138321987638537,0.0503949366224815,0.9875336667645,0.833333333333333,4,FALSE
"LEF1",70,800,1000,24,3,6,0.0044420717998749,0,0.0104266695714044,0.0460326230332353,0.998442770921288,0.875,3,FALSE
"LEF1",70,900,1000,24,6,6,0.00345170708103379,0,0.00705404287381005,0.029333793610119,1,1,0,TRUE
"LEF1",70,1000,1000,24,6,6,0,0,0,0,1,1,0,TRUE
"LEF1",90,100,1000,23,0,1,0.0557095527614847,0,0.0970523820291477,0.304567335916403,0.958314319348959,0.956521739130435,1,FALSE
"LEF1",90,200,1000,23,0,1,0.0550427341614661,0,0.100171586607477,0.24657615462145,0.956059908856108,0.956521739130435,1,FALSE
"LEF1",90,300,1000,23,0,1,0.0404667198858833,0,0.0692489011171841,0.178252765991196,0.970523254227071,0.956521739130435,1,FALSE
"LEF1",90,400,1000,23,1,1,0.027815880244702,0,0.0580455505962056,0.206959215896565,0.998848589140325,1,0,TRUE
"LEF1",90,500,1000,23,1,1,0.0186033614392556,0,0.0393545283825427,0.138774244340005,0.999712271609639,1,0,TRUE
"LEF1",90,600,1000,23,2,1,0.0137742714772679,0,0.0252312317329088,0.0733085324367876,0.999712271609639,0.956521739130435,1,FALSE
"LEF1",90,700,1000,23,3,1,0.00891342547161344,0,0.0138866548001076,0.0280976508521419,1,0.91304347826087,2,FALSE
"LEF1",90,800,1000,23,2,1,0.00658554949084808,0,0.012425502607782,0.0396414154235171,0.977302833587701,0.956521739130435,1,FALSE
"LEF1",90,900,1000,23,1,1,0.00255557524688403,0,0.0049099051395472,0.0127107204659417,1,1,0,TRUE
"LEF1",90,1000,1000,23,1,1,0,0,0,0,1,1,0,TRUE
"PTEN",0,100,1000,162,0,0,0.173948399497302,0,0.353588424757328,0.728660326406011,0.981746141831661,1,0,TRUE
"PTEN",0,200,1000,162,0,0,0.0746060744907935,0,0.148712171110183,0.301752929783996,0.98263394530817,1,0,TRUE
"PTEN",0,300,1000,162,0,0,0.0560800563862872,0,0.112240771981013,0.230413345494442,0.97614319127839,1,0,TRUE
"PTEN",0,400,1000,162,0,0,0.0430430828043563,0,0.085626234888333,0.174665594184765,0.97614319127839,1,0,TRUE
"PTEN",0,500,1000,162,0,0,0.0324213115257852,0,0.0647009871366797,0.187966696089892,0.999995221963677,1,0,TRUE
"PTEN",0,600,1000,162,0,0,0.0229451682746643,0,0.046720130008982,0.20977977599618,0.999985665891032,1,0,TRUE
"PTEN",0,700,1000,162,0,0,0.0178043196081194,0,0.0359229239615032,0.15130422914854,0.999985665891032,1,0,TRUE
"PTEN",0,800,1000,162,0,0,0.0108205743004309,0,0.0215940059267415,0.0799796914898382,0.999985665891032,1,0,TRUE
"PTEN",0,900,1000,162,0,0,0.00452304992817464,0,0.00906093696208026,0.0377736765935976,0.999995221963677,1,0,TRUE
"PTEN",0,1000,1000,162,0,0,0,0,0,0,1,1,0,TRUE
"PTEN",70,100,1000,154,0,0,0.111821429715054,0,0.223572172642511,0.5602911823412,0.990680913941315,1,0,TRUE
"PTEN",70,200,1000,154,0,0,0.0885085942298251,0,0.177469396709616,0.480306713306061,0.990680913941315,1,0,TRUE
"PTEN",70,300,1000,154,0,0,0.0287296740483083,0,0.0589791756989911,0.294351693963067,0.990680913941315,1,0,TRUE
"PTEN",70,400,1000,154,0,0,0.033258932803128,0,0.0661399780831615,0.161110614591712,0.990680913941315,1,0,TRUE
"PTEN",70,500,1000,154,0,0,0.0236394804946944,0,0.047903092663402,0.176571160467909,1,1,0,TRUE
"PTEN",70,600,1000,154,0,0,0.0173087832188236,0,0.0351041298936224,0.143705943594538,1,1,0,TRUE
"PTEN",70,700,1000,154,0,0,0.0148158561332214,0,0.0302168129251764,0.131600047767712,1,1,0,TRUE
"PTEN",70,800,1000,154,0,0,0.0134107210652375,0,0.0269523084036087,0.0925878915485737,1,1,0,TRUE
"PTEN",70,900,1000,154,0,0,0.0039299694158491,0,0.00784731703717165,0.0178799828281353,1,1,0,TRUE
"PTEN",70,1000,1000,154,0,0,0,0,0,0,1,1,0,TRUE
