"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","shared_residues","union_residues","jaccard","dice","overlap_coefficient","reference_recall","comparison_precision","size_difference","left_boundary_shift","right_boundary_shift","centroid_shift","reference_p_any","comparison_p_any","delta_p_any","log10_p_ratio","reference_significant","comparison_significant","significance_flip","protein","n_sim","plddt_threshold"
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0018","cluster_0019",2,2,1,1,1,1,1,0,0,0,0,0.798403193612774,0.95049504950495,0.152091855892176,0.0757275937962091,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0019","cluster_0018",2,2,1,1,1,1,1,0,0,0,0,0.838323353293413,0.900990099009901,0.0626667457164879,0.0313084540077963,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0020","cluster_0020",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0021","cluster_0021",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0022","cluster_0022",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0023","cluster_0023",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0024","cluster_0024",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0025","cluster_0025",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0026","cluster_0026",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0027","cluster_0027",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0028","cluster_0028",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0029","cluster_0029",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0030","cluster_0030",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0031","cluster_0031",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0032","cluster_0032",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0033","cluster_0033",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0034","cluster_0034",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0035","cluster_0035",4,4,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0036","cluster_0036",4,4,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0037","cluster_0037",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0038","cluster_0038",8,8,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0039","cluster_0039",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0040","cluster_0040",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials200_plddt0","cluster_0041","cluster_0041",11,11,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",200,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0001","cluster_0003",4,4,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
