seed,n_closest,n_sim,elapsed_sec,analysis_type,exon_orders,n_exons,n_subjects,n_events,diameter_1d,diameter_3d,p_1d_size,p_3d_size,p_1d_joint,p_3d_joint,p_any_joint,p_hotspot_omnibus,significant_1d,significant_3d,significant_any,hotspot_class
20260903,5,1000,439.890123844147,GAIN,5;6,2,4,4,1,5.15928912557371,0.924151696606786,0.950099800399202,0.994011976047904,1.0,0.994011976047904,0.994011976047904,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,2;5,2,3,3,3,4.48506255785825,0.99001996007984,0.986027944111776,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,6;9,2,3,3,3,4.77930080439185,0.99001996007984,0.986027944111776,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1;2,2,2,3,1,5.09284759901451,0.980039920159681,0.980039920159681,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1;2;5,3,4,5,4,5.2305078957644,0.966067864271457,0.960079840319361,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,3;4,2,3,3,1,5.5594506259578,0.99001996007984,0.99001996007984,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,6;7;8;9,4,4,4,3,8.87616612257633,0.960079840319361,0.962075848303393,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,7;8;9,3,4,4,2,8.87616612257633,0.932135728542914,0.962075848303393,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1;2;3;4,4,4,5,3,15.9159444173143,0.960079840319361,0.966067864271457,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1;2;3;4;5,5,4,5,4,15.9159444173143,0.966067864271457,0.966067864271457,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1;2;3;4;5;6;7;8;9,9,6,7,8,28.5615062085365,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,GAIN,1,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,3,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,4,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,5,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,6,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,7,1,4,4,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,8,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,GAIN,9,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,1;2;5,3,77,82,4,5.2305078957644,0.0199600798403194,0.0019960079840319,0.0179640718562874,0.0039920159680638,0.0039920159680638,0.0039920159680638,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,5,1000,439.890123844147,HETDEL,1;2;3;4,4,77,83,3,15.9159444173143,0.0019960079840319,0.0199600798403194,0.0039920159680638,0.0179640718562874,0.0039920159680638,0.0039920159680638,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,5,1000,439.890123844147,HETDEL,3;4,2,71,73,1,5.5594506259578,0.0019960079840319,0.159680638722555,0.0039920159680638,0.572854291417166,0.0039920159680638,0.0039920159680638,True,False,True,Exon-order hotspot without independent 3D enrichment
20260903,5,1000,439.890123844147,HETDEL,1;2;3;4;5,5,77,83,4,15.9159444173143,0.0199600798403194,0.0199600798403194,0.0179640718562874,0.0179640718562874,0.0179640718562874,0.0179640718562874,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,5,1000,439.890123844147,HETDEL,2;5,2,73,76,3,4.48506255785825,0.0359281437125748,0.0219560878243513,0.0379241516966068,0.0339321357285429,0.0339321357285429,0.0339321357285429,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,5,1000,439.890123844147,HETDEL,1;2,2,61,62,1,5.09284759901451,0.321357285429142,0.0998003992015968,0.882235528942116,0.211576846307385,0.211576846307385,0.211576846307385,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,7;8,2,41,41,1,4.50447228016122,0.209580838323353,0.19560878243513,0.674650698602794,0.672654690618762,0.672654690618762,0.672654690618762,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,7;8;9,3,41,41,2,8.87616612257633,0.211576846307385,0.211576846307385,0.674650698602794,0.674650698602794,0.674650698602794,0.674650698602794,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,6;9,2,43,43,3,4.77930080439185,0.287425149700599,0.239520958083832,0.818363273453094,0.81437125748503,0.81437125748503,0.81437125748503,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,6;7;8;9,4,43,43,3,8.87616612257633,0.287425149700599,0.287425149700599,0.818363273453094,0.818363273453094,0.818363273453094,0.818363273453094,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,5;6,2,60,61,1,5.15928912557371,0.353293413173653,0.293413173652695,0.892215568862275,0.856287425149701,0.856287425149701,0.856287425149701,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,5;6;7;8;9,5,60,61,4,10.1592312730255,0.49500998003992,0.48502994011976,0.99001996007984,0.99001996007984,0.99001996007984,0.99001996007984,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HETDEL,1,1,18,18,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,2,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,3,1,54,54,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,4,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,5,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,6,1,43,43,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,7,1,41,41,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,8,1,39,39,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,9,1,38,38,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,5,1000,439.890123844147,HETDEL,1;2;3;4;5;6;7;8;9,9,81,88,8,28.5615062085365,,,,,,,False,False,False,Multi-exon compactness not testable: invariant null
20260903,5,1000,439.890123844147,HOMDEL,1;2;5,3,33,33,4,5.2305078957644,0.0578842315369262,0.0019960079840319,0.115768463073852,0.0019960079840319,0.0019960079840319,0.0019960079840319,False,True,True,Nonlocal 3D-specific exon CNA hotspot
20260903,5,1000,439.890123844147,HOMDEL,2;5,2,32,32,3,4.48506255785825,0.0259481037924152,0.0059880239520958,0.0698602794411178,0.0279441117764471,0.0279441117764471,0.0279441117764471,False,True,True,Nonlocal 3D-specific exon CNA hotspot
20260903,5,1000,439.890123844147,HOMDEL,3;4,2,31,31,1,5.5594506259578,0.0059880239520958,0.0658682634730539,0.0279441117764471,0.137724550898204,0.0279441117764471,0.0279441117764471,True,False,True,Exon-order hotspot without independent 3D enrichment
20260903,5,1000,439.890123844147,HOMDEL,1;2;3;4,4,33,33,3,15.9159444173143,0.0139720558882236,0.0578842315369262,0.029940119760479,0.115768463073852,0.029940119760479,0.029940119760479,True,False,True,Exon-order hotspot without independent 3D enrichment
20260903,5,1000,439.890123844147,HOMDEL,1;2;3;4;5,5,33,33,4,15.9159444173143,0.0578842315369262,0.0578842315369262,0.115768463073852,0.115768463073852,0.115768463073852,0.115768463073852,False,False,False,Weak clustering evidence
20260903,5,1000,439.890123844147,HOMDEL,1;2,2,27,27,1,5.09284759901451,0.157684630738523,0.193612774451098,0.345309381237525,0.459081836327345,0.345309381237525,0.345309381237525,False,False,False,Weak clustering evidence
